설치장소명	설치장소상세	설치시도명	설치시군구명	설치시설구분	서비스제공사명	와이파이SSID	설치년월	소재지도로명주소	소재지지번주소	관리기관명	관리기관전화번호	위도	경도	데이터기준일자	제공기관코드	제공기관명
천지연 공영주차장1-2	천정-동	제주특별자치도	서귀포시	편의시설	KT	Jeju Free WiFI		제주특별자치도 서귀포시 서문로 16	제주특별자치도 서귀포시 서귀동 305-1	정보정책과	064-710-2352	33.25152344	126.5593512	2020-10-28	6500000	제주특별자치도
천지연 공영주차장1-3	천정-남	제주특별자치도	서귀포시	편의시설	KT	Jeju Free WiFI		제주특별자치도 서귀포시 서문로 16	제주특별자치도 서귀포시 서귀동 305-1	정보정책과	064-710-2352	33.25152344	126.5593512	2020-10-28	6500000	제주특별자치도
천지동자원순환센터 (아랑조을거리입구 서 )1-1	천지동 재활용지원센터 옆 KT주-동남	제주특별자치도	서귀포시	교통시설	KT	Jeju Free WiFI			제주특별자치도 서귀포시 서귀동 305-23	정보정책과	064-710-2352	33.25139506	126.5595158	2020-10-28	6500000	제주특별자치도
천지동자원순환센터 (아랑조을거리입구 서 )1-2	천지동 재활용지원센터 옆 KT주-남서	제주특별자치도	서귀포시	교통시설	KT	Jeju Free WiFI			제주특별자치도 서귀포시 서귀동 305-23	정보정책과	064-710-2352	33.25139506	126.5595158	2020-10-28	6500000	제주특별자치도
아랑조을거리2-1	CCTV 폴 상부 서	제주특별자치도	서귀포시	관광	KT	Jeju Free WiFI		제주특별자치도 서귀포시 중앙로59번길 16	제주특별자치도 서귀포시 서귀동 308-10	정보정책과	064-710-2352	33.24987165	126.5598839	2020-10-28	6500000	제주특별자치도
아랑조을거리2-2	CCTV 폴 상부 북	제주특별자치도	서귀포시	관광	KT	Jeju Free WiFI		제주특별자치도 서귀포시 중앙로59번길 16	제주특별자치도 서귀포시 서귀동 308-10	정보정책과	064-710-2352	33.24987165	126.5598839	2020-10-28	6500000	제주특별자치도
아랑조을거리2-3	CCTV 폴 상부 동	제주특별자치도	서귀포시	관광	KT	Jeju Free WiFI		제주특별자치도 서귀포시 중앙로59번길 16	제주특별자치도 서귀포시 서귀동 308-10	정보정책과	064-710-2352	33.24987165	126.5598839	2020-10-28	6500000	제주특별자치도
아랑조을거리3-1	CCTV 폴 상부 북	제주특별자치도	서귀포시	관광	KT	Jeju Free WiFI		제주특별자치도 서귀포시 천지로 19	제주특별자치도 서귀포시 서귀동 309-36	정보정책과	064-710-2352	33.24941085	126.5606314	2020-10-28	6500000	제주특별자치도
아랑조을거리3-2	CCTV 폴 상부 남	제주특별자치도	서귀포시	관광	KT	Jeju Free WiFI		제주특별자치도 서귀포시 천지로 19	제주특별자치도 서귀포시 서귀동 309-36	정보정책과	064-710-2352	33.24941085	126.5606314	2020-10-28	6500000	제주특별자치도
아랑조을거리 공영주차장 1-1	매표소 비가림 기둥 -동	제주특별자치도	서귀포시	편의시설	KT	Jeju Free WiFI			제주특별자치도 서귀포시 서귀동 312-6	정보정책과	064-710-2352	33.247753	126.5602822	2020-10-28	6500000	제주특별자치도
아랑조을거리 공영주차장 1-2	매표소 비가림 기둥-북	제주특별자치도	서귀포시	편의시설	KT	Jeju Free WiFI			제주특별자치도 서귀포시 서귀동 312-6	정보정책과	064-710-2352	33.247753	126.5602822	2020-10-28	6500000	제주특별자치도
아랑조을거리공영주차장 1-3	매표소 비가림 기둥 -남_(구)중앙파출소 정류장방향	제주특별자치도	서귀포시	교통시설	KT	Jeju Free WiFI			제주특별자치도 서귀포시 서귀동 312-6	정보정책과	064-710-2352	33.247753	126.5602822	2020-10-28	6500000	제주특별자치도
7-1코스	건물외벽	제주특별자치도	서귀포시	관광	KT	Jeju Free WiFI		제주특별자치도 서귀포시 중정로 22	제주특별자치도 서귀포시 서귀동 316-1	정보정책과	064-710-2352	33.24740549	126.5586574	2020-10-28	6500000	제주특별자치도
천지동 아랑조을거리 1-1	방범CCTV 폴대- 남	제주특별자치도	서귀포시	관광	KT	Jeju Free WiFI		제주특별자치도 서귀포시 서문로29번길 16	제주특별자치도 서귀포시 서귀동 320-2	정보정책과	064-710-2352	33.24886117	126.5591386	2020-10-28	6500000	제주특별자치도
천지동 아랑조을거리 1-2	방범CCTV 폴대- 북	제주특별자치도	서귀포시	관광	KT	Jeju Free WiFI		제주특별자치도 서귀포시 서문로29번길 16	제주특별자치도 서귀포시 서귀동 320-2	정보정책과	064-710-2352	33.24886117	126.5591386	2020-10-28	6500000	제주특별자치도
제주은행(북)1-1	아리따움 앞 주차단속 CCTV 폴대 -동	제주특별자치도	서귀포시	교통시설	KT	Jeju Free WiFI			제주특별자치도 서귀포시 서귀동 371-9	정보정책과	064-710-2352	33.2481299	126.5643042	2020-10-28	6500000	제주특별자치도
제주은행(북)1-2	아리따움 앞 주차단속 CCTV 폴대- 서	제주특별자치도	서귀포시	교통시설	KT	Jeju Free WiFI			제주특별자치도 서귀포시 서귀동 371-9	정보정책과	064-710-2352	33.2481299	126.5643042	2020-10-28	6500000	제주특별자치도
